20260206  ;ZR355                         ;T306392007     ;APF294687 ;AU90F;K262;30;0        ;4;SOFIE.MAMPAEY                 ;
20260216  ;ZB 6 VSD+                     ;T306571016     ;APF295899 ;AX00F;K326;30;0        ;C;KIRSTEN.BAUWENS               ;
20260216  ;ZB 6 VSD+                     ;T306571017     ;APF293922 ;AX02F;K326;30;0        ;C;KIRSTEN.BAUWENS               ;
20260216  ;ZB 6 VSD+                     ;T306571018     ;APF293923 ;AX03F;K326;30;0        ;C;KIRSTEN.BAUWENS               ;
20260129  ;ZR700VSD                      ;T306629006     ;APF295218 ;AZ91F;K217;30;0        ;4;SOFIE.MAMPAEY                 ;
20260121  ;GR110                         ;T307107004     ;APF293485 ;BE33F;K106;30;0        ;1;KENNETH.VAN.LAEKEN            ;
20260216  ;ZR400                         ;T307192004     ;APF295472 ;BF87F;K262;30;0        ;4;SOFIE.MAMPAEY                 ;
20260202  ;ZR400VSD                      ;T307511002     ;APF296125 ;BG29F;K261;30;0        ;4;SOFIE.MAMPAEY                 ;
20260204  ;ZR500VSD                      ;T307532018     ;APF295760 ;BG48F;K261;30;0        ;4;SOFIE.MAMPAEY                 ;
20260210  ;ZR500VSD                      ;T307532019     ;APF295830 ;BG49F;K261;30;0        ;4;SOFIE.MAMPAEY                 ;
20260123  ;ZS5VSD                        ;T307797033     ;APF293628 ;BK00F;K360;32;0        ;=;SOFIE.MAMPAEY                 ;
20260114  ;ZR160                         ;T307839012     ;APF293743 ;BK80F;K175;35;799      ;3;SIGRID.VAN.REETH              ;
20260114  ;ZR160                         ;T307839013     ;APF293752 ;BK81F;K175;35;799      ;3;SIGRID.VAN.REETH              ;
20260112  ;ZR160                         ;T307839014     ;APF293816 ;BK82F;K175;35;0        ;3;SIGRID.VAN.REETH              ;
20260204  ;ZR315                         ;T308116003     ;APF295831 ;BO39F;K262;30;0        ;4;SOFIE.MAMPAEY                 ;
20260114  ;ZR200                         ;T308176061     ;APF293753 ;CK18F;K257;35;899      ;3;SIGRID.VAN.REETH              ;
20260114  ;ZR200                         ;T308176062     ;APF293744 ;CK19F;K257;35;799      ;3;SIGRID.VAN.REETH              ;
20260112  ;ZR200                         ;T308176063     ;APF293745 ;CK22F;K257;35;799      ;3;SIGRID.VAN.REETH              ;
20260130  ;ZR315                         ;T308187026     ;APF295576 ;BP50F;K262;30;0        ;4;SOFIE.MAMPAEY                 ;
20260130  ;ZR315                         ;T308187027     ;APF295804 ;BP51F;K262;30;0        ;4;SOFIE.MAMPAEY                 ;
20260127  ;ZH560+'                       ;T308321007     ;APF293882 ;BR53F;V196;30;0        ;6;SOFIE.MAMPAEY                 ;
20260204  ;MD600                         ;T308844004     ;APF295918 ;BY93F;V761;30;0        ;M;KIRSTEN.BAUWENS               ;
20260119  ;GA200VSDA3                    ;T308847054     ;APF295267 ;BZ20F;V003;35;799      ;1;KENNETH.VAN.LAEKEN            ;
20260112  ;GA315VSDA3                    ;T308847055     ;APF295489 ;BZ21F;V003;35;899      ;1;KENNETH.VAN.LAEKEN            ;
20260120  ;GA315VSDA3                    ;T308847056     ;APF295505 ;BZ22F;V003;35;899      ;1;KENNETH.VAN.LAEKEN            ;
20260122  ;GA315VSDA3                    ;T308847057     ;APF295563 ;BZ23F;V003;35;899      ;1;KENNETH.VAN.LAEKEN            ;
20260121  ;GA315VSDA3                    ;T308847058     ;APF295743 ;BZ24F;V003;35;899      ;1;KENNETH.VAN.LAEKEN            ;
20260116  ;GA315VSDA3                    ;T308847059     ;APF295815 ;BZ25F;V003;35;899      ;1;KENNETH.VAN.LAEKEN            ;
20260123  ;GA315VSDA3                    ;T308847060     ;APF295816 ;BZ26F;V003;35;0        ;1;KENNETH.VAN.LAEKEN            ;
20260216  ;ZB7VSDPA                      ;T308968006     ;APF294156 ;BZ89F;K236;30;0        ;C;KIRSTEN.BAUWENS               ;
20260226  ;ZB7VSDPA                      ;T308968007     ;APF294157 ;BZ90F;K236;30;0        ;C;KIRSTEN.BAUWENS               ;
20260112  ;GA315VSDA3                    ;T309045009     ;APF295024 ;CB44F;K003;30;0        ;1;KENNETH.VAN.LAEKEN            ;
20260210  ;ZB5_150_A1                    ;T309105025     ;APF294152 ;CD08F;K321;30;0        ;C;KIRSTEN.BAUWENS               ;
20260210  ;ZB5_150_A1                    ;T309105026     ;APF294153 ;CD09F;K321;30;0        ;C;KIRSTEN.BAUWENS               ;
20260210  ;ZB5_150_A1                    ;T309105027     ;APF294155 ;CD10F;K321;30;0        ;C;KIRSTEN.BAUWENS               ;
20260210  ;ZB5_150_A1                    ;T309105028     ;APF294154 ;CD11F;K321;30;0        ;C;KIRSTEN.BAUWENS               ;
20260227  ;ZR400                         ;T309370025     ;APF296242 ;CF19F;K262;30;0        ;4;SOFIE.MAMPAEY                 ;
20260227  ;ZR400                         ;T309370026     ;APF296273 ;CF20F;K262;30;0        ;4;SOFIE.MAMPAEY                 ;
20260120  ;GA200VSDA3                    ;T309442020     ;APF295141 ;CF50F;K004;30;0        ;1;KENNETH.VAN.LAEKEN            ;
20260116  ;GA110A3                       ;T309504020     ;APF295923 ;CF67F;K155;40;999      ;T;KENNETH.VAN.LAEKEN            ;
20260108  ;ZR315VSD+                     ;T309719004     ;APF294610 ;CJ08F;K248;35;5        ;3;SIGRID.VAN.REETH              ;
20260114  ;ZT160VSD STD                  ;T309768003     ;APF295294 ;CK49F;V179;35;468      ;3;SIGRID.VAN.REETH              ;
20260209  ;GA132A3                       ;T310010010     ;APF294367 ;CM65F;V154;30;0        ;T;KENNETH.VAN.LAEKEN            ;
